"P1","Species","V05","V05_SEM","k","k_SEM"
500,"Equine",-5.24837286252632,0.425141953521016,12.9886291088986,0.374691303211896
500,"Human",15.4528665140023,0.306443026850431,11.7471682322791,0.271137590270323
2000,"Equine",-1.92975583398154,0.347136117372757,11.0364825874008,0.305731467256341
2000,"Human",-2.66920568406034,0.165190108500092,10.1489199428709,0.145462097635076
4000,"Equine",-10.345686372997,0.460505178156362,11.1151209648187,0.405535294060425
4000,"Human",-7.15092179587953,0.0808468337381765,9.08108729215061,0.0711842202537134
